method,dataset,mask,budget,impresions,click,win_rate,ecpc,cer,wrc,cost_time
IIBidder,ipinyou,0.0,0.03125,26051.0,60.0,0.16692617724893163,4902.516666666666,0.012238612141383167,5.674846498870704e-07,0.26058818101882936
AC_GAIL,ipinyou,0.0,0.03125,14023.0,29.0,0.08985473815061869,4327.724137931034,0.006700981642019378,7.159511900068419e-07,0.09481456279754638
PPO_GAIL,ipinyou,0.0,0.03125,16215.0,48.0,0.10390034793641038,6128.145833333333,0.007832711770485227,3.5322112770791323e-07,0.1082976738611857
PPO,ipinyou,0.0,0.03125,19753.0,51.0,0.12657067978957223,5767.607843137255,0.008842487455294614,4.302959047471757e-07,0.3351191282272339
DRLB,ipinyou,0.0,0.03125,28495.0,67.0,0.1825865195465935,3724.686567164179,0.017988090753904968,7.31651344184399e-07,0.06436599890391032
Lin,ipinyou,0.0,0.03125,16034.0,26.0,0.10274055990211466,11819.961538461539,0.002199668748108643,3.3431242423057035e-07,0.0020949800809224447
Gamma,ipinyou,0.0,0.03125,5040.0,10.0,0.03229465023740676,30514.8,0.0003277098326058175,1.0583274423363995e-07,0.005468642711639405
Uniform,ipinyou,0.0,0.03125,6857.0,12.0,0.04393738426148308,25611.25,0.0004685440968324467,1.4296251406928297e-07,0.010485291481018066
Normal,ipinyou,0.0,0.03125,5049.0,12.0,0.03235231925568782,25610.916666666668,0.0004685501950665569,1.0526864929241704e-07,0.005610823631286621
IIBidder,ipinyou,0.0,0.0625,52683.0,105.0,0.337575210011342,4837.161904761905,0.021706943465471685,6.64646349121173e-07,0.12484910090764363
AC_GAIL,ipinyou,0.0,0.0625,14023.0,29.0,0.08985473815061869,4327.724137931034,0.006700981642019378,7.159511900068419e-07,0.08907122214635213
PPO_GAIL,ipinyou,0.0,0.0625,27568.0,76.0,0.17664661066364234,7914.223684210527,0.009602963352125836,2.936861025762116e-07,0.11639345486958821
PPO,ipinyou,0.0,0.0625,52658.0,105.0,0.33741501829389464,4834.447619047619,0.021719130761972117,6.647039368143593e-07,0.34752434492111206
DRLB,ipinyou,0.0,0.0625,30687.0,69.0,0.19663212933238505,3936.217391304348,0.017529519622679023,7.239795777318218e-07,0.057958340644836424
Lin,ipinyou,0.0,0.0625,30454.0,68.0,0.19513914252571746,9039.176470588236,0.007522809209584424,3.1747286733193656e-07,0.0028030077616373696
Gamma,ipinyou,0.0,0.0625,9859.0,21.0,0.06317320569256643,29166.809523809523,0.0007199964734866605,1.0313942248865137e-07,0.0077792048454284664
Uniform,ipinyou,0.0,0.0625,13663.0,27.0,0.08754797741938772,22765.555555555555,0.0011860022451071306,1.4243086114400853e-07,0.010823655128479003
Normal,ipinyou,0.0,0.0625,10004.0,29.0,0.0641023176537623,21195.51724137931,0.0013682138383197488,1.0428736989565506e-07,0.00450514554977417
