method,dataset,mask,budget,impresions,click,win_rate,ecpc,cer,wrc,cost_time
IIBidder,ipinyou,0.0,0.03125,22383.0,51.0,0.14342284846504313,5767.607843137255,0.008842487455294614,4.875873657649997e-07,0.015447930494944254
AC_GAIL,ipinyou,0.0,0.03125,14025.0,29.0,0.0898675534880145,4224.793103448276,0.006864241464589166,7.334989143562591e-07,0.010796451568603515
PPO_GAIL,ipinyou,0.0,0.03125,19753.0,51.0,0.12657067978957223,5767.607843137255,0.008842487455294614,4.302959047471757e-07,0.013024568557739258
PPO,ipinyou,0.0,0.03125,12282.0,34.0,0.0786989869475789,8651.029411764706,0.003930168120080915,2.6756076953636565e-07,0.03258668184280396
DRLB,ipinyou,0.0,0.03125,144258.0,476.0,0.9243574710213149,15385.600840336134,0.030938018276938522,1.2621720011334877e-07,0.009189748764038086
Lin,ipinyou,0.0,0.03125,16034.0,26.0,0.10274055990211466,11819.961538461539,0.002199668748108643,3.3431242423057035e-07,0.0004977981249491373
Gamma,ipinyou,0.0,0.03125,5040.0,10.0,0.03229465023740676,30514.8,0.0003277098326058175,1.0583274423363995e-07,0.0013675848642985026
Uniform,ipinyou,0.0,0.03125,6857.0,12.0,0.04393738426148308,25611.25,0.0004685440968324467,1.4296251406928297e-07,0.0024944504102071127
Normal,ipinyou,0.0,0.03125,5049.0,12.0,0.03235231925568782,25610.916666666668,0.0004685501950665569,1.0526864929241704e-07,0.0011226495107014975
IIBidder,ipinyou,0.0,0.0625,46258.0,103.0,0.2964059386273496,5762.21359223301,0.017875074977927848,4.994135523486618e-07,0.015524152914683025
AC_GAIL,ipinyou,0.0,0.0625,14025.0,29.0,0.0898675534880145,4224.793103448276,0.006864241464589166,7.334989143562591e-07,0.010826949278513591
PPO_GAIL,ipinyou,0.0,0.0625,36720.0,94.0,0.23528959458680176,6398.734042553191,0.014690405848231282,3.9118375241579e-07,0.013197517395019532
PPO,ipinyou,0.0,0.0625,20369.0,64.0,0.1305178037074772,9397.96875,0.0068099822102515506,2.1699802767798427e-07,0.032699871063232425
DRLB,ipinyou,0.0,0.0625,13384.0,28.0,0.08576023785266218,3893.9285714285716,0.007190681463817298,7.865746845149241e-07,0.007496448357899984
Lin,ipinyou,0.0,0.0625,30454.0,68.0,0.19513914252571746,9039.176470588236,0.007522809209584424,3.1747286733193656e-07,0.0005295157432556152
Gamma,ipinyou,0.0,0.0625,9859.0,21.0,0.06317320569256643,29166.809523809523,0.0007199964734866605,1.0313942248865137e-07,0.0014059861501057942
Uniform,ipinyou,0.0,0.0625,13663.0,27.0,0.08754797741938772,22765.555555555555,0.0011860022451071306,1.4243086114400853e-07,0.0025197148323059084
Normal,ipinyou,0.0,0.0625,10004.0,29.0,0.0641023176537623,21195.51724137931,0.0013682138383197488,1.0428736989565506e-07,0.0010985374450683595
IIBidder,ipinyou,0.0,0.125,70014.0,153.0,0.4486265162146056,5981.437908496732,0.025579133703396126,4.902164825982403e-07,0.01592288017272949
AC_GAIL,ipinyou,0.0,0.125,14025.0,29.0,0.0898675534880145,4224.793103448276,0.006864241464589166,7.334989143562591e-07,0.010800182819366455
PPO_GAIL,ipinyou,0.0,0.125,60554.0,151.0,0.38800997033249435,7769.298013245033,0.019435475347010307,3.30738047137906e-07,0.013302063941955567
PPO,ipinyou,0.0,0.125,52658.0,105.0,0.33741501829389464,4834.447619047619,0.021719130761972117,6.647039368143593e-07,0.03371866544087728
DRLB,ipinyou,0.0,0.125,52552.0,105.0,0.3367358054119174,4822.047619047619,0.021774981977622627,6.650717545636953e-07,0.008350467681884766
