method,dataset,mask,budget,impresions,click,win_rate,ecpc,cer,wrc,cost_time
IIBidder,ipinyou,0.0,0.03125,22383.0,51.0,0.14342284846504313,5767.607843137255,0.008842487455294614,4.875873657649997e-07,0.016289265950520833
AC_GAIL,ipinyou,0.0,0.03125,14025.0,29.0,0.0898675534880145,4224.793103448276,0.006864241464589166,7.334989143562591e-07,0.010834153493245442
PPO_GAIL,ipinyou,0.0,0.03125,19753.0,51.0,0.12657067978957223,5767.607843137255,0.008842487455294614,4.302959047471757e-07,0.013115346431732178
PPO,ipinyou,0.0,0.03125,12282.0,34.0,0.0786989869475789,8651.029411764706,0.003930168120080915,2.6756076953636565e-07,0.033402915795644125
DRLB,ipinyou,0.0,0.03125,32989.0,76.0,0.2113825826749455,3603.6447368421054,0.02108975927149779,7.718157518701662e-07,0.00829561948776245
Lin,ipinyou,0.0,0.03125,16034.0,26.0,0.10274055990211466,11819.961538461539,0.002199668748108643,3.3431242423057035e-07,0.000529317061106364
Gamma,ipinyou,0.0,0.03125,5040.0,10.0,0.03229465023740676,30514.8,0.0003277098326058175,1.0583274423363995e-07,0.0014507373174031575
Uniform,ipinyou,0.0,0.03125,6857.0,12.0,0.04393738426148308,25611.25,0.0004685440968324467,1.4296251406928297e-07,0.0025876124699910482
Normal,ipinyou,0.0,0.03125,5049.0,12.0,0.03235231925568782,25610.916666666668,0.0004685501950665569,1.0526864929241704e-07,0.0011879165967305502
IIBidder,ipinyou,0.0,0.0625,46258.0,103.0,0.2964059386273496,5762.21359223301,0.017875074977927848,4.994135523486618e-07,0.01657634973526001
AC_GAIL,ipinyou,0.0,0.0625,14025.0,29.0,0.0898675534880145,4224.793103448276,0.006864241464589166,7.334989143562591e-07,0.011423103014628093
PPO_GAIL,ipinyou,0.0,0.0625,36720.0,94.0,0.23528959458680176,6398.734042553191,0.014690405848231282,3.9118375241579e-07,0.01487501859664917
PPO,ipinyou,0.0,0.0625,20369.0,64.0,0.1305178037074772,9397.96875,0.0068099822102515506,2.1699802767798427e-07,0.03443578481674194
DRLB,ipinyou,0.0,0.0625,131869.0,420.0,0.844972863523063,14631.466666666667,0.028705256251366915,1.3750092161497058e-07,0.00994281768798828
Lin,ipinyou,0.0,0.0625,30454.0,68.0,0.19513914252571746,9039.176470588236,0.007522809209584424,3.1747286733193656e-07,0.0005307634671529134
Gamma,ipinyou,0.0,0.0625,9859.0,21.0,0.06317320569256643,29166.809523809523,0.0007199964734866605,1.0313942248865137e-07,0.0014124671618143717
Uniform,ipinyou,0.0,0.0625,13663.0,27.0,0.08754797741938772,22765.555555555555,0.0011860022451071306,1.4243086114400853e-07,0.002473183472951253
Normal,ipinyou,0.0,0.0625,10004.0,29.0,0.0641023176537623,21195.51724137931,0.0013682138383197488,1.0428736989565506e-07,0.0011051495869954426
IIBidder,ipinyou,0.0,0.125,70014.0,153.0,0.4486265162146056,5981.437908496732,0.025579133703396126,4.902164825982403e-07,0.01648799975713094
AC_GAIL,ipinyou,0.0,0.125,14025.0,29.0,0.0898675534880145,4224.793103448276,0.006864241464589166,7.334989143562591e-07,0.011545451482137044
PPO_GAIL,ipinyou,0.0,0.125,60554.0,151.0,0.38800997033249435,7769.298013245033,0.019435475347010307,3.30738047137906e-07,0.013593117396036783
PPO,ipinyou,0.0,0.125,52658.0,105.0,0.33741501829389464,4834.447619047619,0.021719130761972117,6.647039368143593e-07,0.035710867245992026
DRLB,ipinyou,0.0,0.125,144274.0,476.0,0.9244599937204814,15392.590336134454,0.030923969884560577,1.2617387986941787e-07,0.009366981188456218
Lin,ipinyou,0.0,0.125,57778.0,130.0,0.3702222820273482,9456.384615384615,0.013747325779082916,3.011577705151165e-07,0.0005735158920288086
Gamma,ipinyou,0.0,0.125,19698.0,47.0,0.12621825801122694,26110.510638297874,0.001800041395248021,1.028511042355381e-07,0.0014075040817260742
Uniform,ipinyou,0.0,0.125,27142.0,61.0,0.1739169437983102,20153.081967213115,0.003026832327643008,1.414720311243207e-07,0.002493397394816081
Normal,ipinyou,0.0,0.125,19800.0,62.0,0.12687184021841158,19828.08064516129,0.0031268785471240284,1.0320313096074366e-07,0.0011208176612854004
IIBidder,ipinyou,0.0,0.25,70552.0,156.0,0.45207384197407463,6008.115384615385,0.02596488083425623,4.82332488294758e-07,0.016386417547861735
AC_GAIL,ipinyou,0.0,0.25,14025.0,29.0,0.0898675534880145,4224.793103448276,0.006864241464589166,7.334989143562591e-07,0.011835801601409911
PPO_GAIL,ipinyou,0.0,0.25,92644.0,232.0,0.5936320588480296,9310.125,0.02491910688632,2.748361460608698e-07,0.014409796396891276
PPO,ipinyou,0.0,0.25,56707.0,193.0,0.36335966885168214,12670.699481865286,0.015231992541234826,1.485863181759075e-07,0.0352111538251241
DRLB,ipinyou,0.0,0.25,144264.0,476.0,0.9243959170335023,15388.302521008403,0.03093258657672968,1.262002892398764e-07,0.009596931934356689
Lin,ipinyou,0.0,0.25,98809.0,253.0,0.6331353363704036,8526.256916996048,0.029673044392513618,2.935064278865164e-07,0.0006778319676717122
Gamma,ipinyou,0.0,0.25,39076.0,100.0,0.2503860620389152,24565.33,0.004070777799443362,1.0192660226380644e-07,0.0014665643374125162
Uniform,ipinyou,0.0,0.25,58828.0,154.0,0.37695033416016044,15965.448051948051,0.009645830138867254,1.5331417161823908e-07,0.0025716702143351237
Normal,ipinyou,0.0,0.25,43409.0,130.0,0.2781504905069871,18912.915384615386,0.006873609771751416,1.1313005500392165e-07,0.0011700312296549478
IIBidder,ipinyou,0.0,0.5,99759.0,343.0,0.6392226216335708,14032.291545189504,0.02444361983895538,1.3280958406506998e-07,0.016513784726460774
AC_GAIL,ipinyou,0.0,0.5,14025.0,29.0,0.0898675534880145,4224.793103448276,0.006864241464589166,7.334989143562591e-07,0.010786815484364828
PPO_GAIL,ipinyou,0.0,0.5,97999.0,251.0,0.6279451247252718,9447.533864541832,0.0265677798670873,2.6480703230602213e-07,0.014009002844492595
PPO,ipinyou,0.0,0.5,99759.0,343.0,0.6392226216335708,14032.291545189504,0.02444361983895538,1.3280958406506998e-07,0.03602902094523112
DRLB,ipinyou,0.0,0.5,144267.0,476.0,0.924415140039596,15389.20588235294,0.03093077080382927,1.2619550536753443e-07,0.009468666712443034
Lin,ipinyou,0.0,0.5,98809.0,253.0,0.6331353363704036,8526.256916996048,0.029673044392513618,2.935064278865164e-07,0.0006563822428385417
Gamma,ipinyou,0.0,0.5,85173.0,266.0,0.5457603660063722,18478.04887218045,0.014395459273867123,1.1103611173802287e-07,0.0015189528465270996
Uniform,ipinyou,0.0,0.5,125789.0,368.0,0.8060142378386911,13362.39945652174,0.027539964001030634,1.639118848534654e-07,0.00270158052444458
Normal,ipinyou,0.0,0.5,78204.0,263.0,0.5011053228509795,16188.342205323193,0.016246258984661074,1.1769848998292898e-07,0.0012211322784423829
IIBidder,ipinyou,0.1,0.03125,28136.0,69.0,0.1802861664840483,4298.739130434783,0.016051218254088662,6.078161324151278e-07,0.015668781598409016
AC_GAIL,ipinyou,0.1,0.03125,21463.0,59.0,0.13752779326297723,1663.9322033898304,0.03545817544717435,1.4008861311063973e-06,0.011029934883117676
PPO_GAIL,ipinyou,0.1,0.03125,35963.0,96.0,0.23043898938249335,2007.6875,0.047816206456433086,1.1956074535509e-06,0.013359347979227701
PPO,ipinyou,0.1,0.03125,13722.0,44.0,0.08792602987255156,6741.045454545455,0.006527177467751832,2.964404963910088e-07,0.03338596820831299
DRLB,ipinyou,0.1,0.03125,130661.0,400.0,0.837232399736005,14827.555,0.026976800962802028,1.411615737955457e-07,0.00898438294728597
Lin,ipinyou,0.1,0.03125,19747.0,30.0,0.12653223377742348,10244.133333333333,0.002928505420988924,4.117225917189138e-07,0.0005163828531901042
Gamma,ipinyou,0.1,0.03125,5484.0,12.0,0.03513965513927241,25474.416666666668,0.00047106083554415706,1.1495080076832774e-07,0.0013990362485249838
Uniform,ipinyou,0.1,0.03125,7793.0,13.0,0.04993496216271337,23641.153846153848,0.0005498885580880798,1.624773037978537e-07,0.002475583553314209
