method,dataset,mask,budget,impresions,click,win_rate,ecpc,cer,wrc,cost_time
IIBidder,ipinyou,0.0,0.03125,22383.0,51.0,0.14342284846504313,5767.607843137255,0.008842487455294614,4.875873657649997e-07,0.015587814648946126
AC_GAIL,ipinyou,0.0,0.03125,14025.0,29.0,0.0898675534880145,4224.793103448276,0.006864241464589166,7.334989143562591e-07,0.010735019048055013
PPO_GAIL,ipinyou,0.0,0.03125,19753.0,51.0,0.12657067978957223,5767.607843137255,0.008842487455294614,4.302959047471757e-07,0.012997432549794515
PPO,ipinyou,0.0,0.03125,12282.0,34.0,0.0786989869475789,8651.029411764706,0.003930168120080915,2.6756076953636565e-07,0.03289793332417806
DRLB,ipinyou,0.0,0.03125,129227.0,398.0,0.8280438028232188,13856.404522613066,0.028723179909368325,1.5014804626984687e-07,0.010012447834014893
Lin,ipinyou,0.0,0.03125,16034.0,26.0,0.10274055990211466,11819.961538461539,0.002199668748108643,3.3431242423057035e-07,0.0005043983459472656
Gamma,ipinyou,0.0,0.03125,5040.0,10.0,0.03229465023740676,30514.8,0.0003277098326058175,1.0583274423363995e-07,0.0014436999956766764
Uniform,ipinyou,0.0,0.03125,6857.0,12.0,0.04393738426148308,25611.25,0.0004685440968324467,1.4296251406928297e-07,0.0025397181510925294
Normal,ipinyou,0.0,0.03125,5049.0,12.0,0.03235231925568782,25610.916666666668,0.0004685501950665569,1.0526864929241704e-07,0.00107346773147583
IIBidder,ipinyou,0.0,0.0625,46258.0,103.0,0.2964059386273496,5762.21359223301,0.017875074977927848,4.994135523486618e-07,0.015468653043111165
AC_GAIL,ipinyou,0.0,0.0625,14025.0,29.0,0.0898675534880145,4224.793103448276,0.006864241464589166,7.334989143562591e-07,0.010744229952494303
PPO_GAIL,ipinyou,0.0,0.0625,36720.0,94.0,0.23528959458680176,6398.734042553191,0.014690405848231282,3.9118375241579e-07,0.01318588654200236
PPO,ipinyou,0.0,0.0625,20369.0,64.0,0.1305178037074772,9397.96875,0.0068099822102515506,2.1699802767798427e-07,0.033714266618092854
DRLB,ipinyou,0.0,0.0625,57785.0,120.0,0.3702671357080157,5023.325,0.023888559868214778,6.142464332356486e-07,0.009251248836517335
Lin,ipinyou,0.0,0.0625,30454.0,68.0,0.19513914252571746,9039.176470588236,0.007522809209584424,3.1747286733193656e-07,0.0005296150843302409
Gamma,ipinyou,0.0,0.0625,9859.0,21.0,0.06317320569256643,29166.809523809523,0.0007199964734866605,1.0313942248865137e-07,0.0014094670613606771
