method,dataset,mask,budget,click,win_rate,ecpc,cer,wrc
IIBidder,ipinyou,0.0,0.03125,60.0,0.1669261772489316,4902.516666666666,0.0122386121413831,5.674846498870704e-07
IIBidder,ipinyou,0.0,0.0625,105.0,0.337575210011342,4837.161904761905,0.0217069434654716,6.64646349121173e-07
IIBidder,ipinyou,0.0,0.125,153.0,0.4486265162146056,5932.377483443709,0.0255791337033961,4.970260315819013e-07
IIBidder,ipinyou,0.0,0.25,156.0,0.4520738419740746,5932.377483443709,0.0259648808342562,4.970260315819013e-07
IIBidder,ipinyou,0.0,0.5,343.0,0.6392226216335708,5931.622516556291,0.0254567784073464,4.970606761715223e-07
IIBidder,ipinyou,0.1,0.03125,69.0,0.1802861664840483,4298.739130434783,0.0160512182540886,6.078161324151278e-07
IIBidder,ipinyou,0.1,0.0625,119.0,0.3622255114921541,3577.2347826086957,0.0321477361673578,8.805088980367495e-07
IIBidder,ipinyou,0.1,0.125,148.0,0.4514779287851706,3637.9115044247783,0.0310617781280711,8.80414589386482e-07
IIBidder,ipinyou,0.1,0.25,149.0,0.4501835797081953,3575.521739130435,0.0321631382467745,8.805879173141051e-07
IIBidder,ipinyou,0.1,0.5,148.0,0.4499593113037685,3638.504424778761,0.0310567163888692,8.804581360320841e-07
IIBidder,ipinyou,0.2,0.03125,96.0,0.3090034152874161,2968.7291666666665,0.0323370690320633,1.0842301184128175e-06
IIBidder,ipinyou,0.2,0.0625,132.0,0.415005478556737,2633.540322580646,0.0470849065559362,1.1479133454120331e-06
IIBidder,ipinyou,0.2,0.125,144.0,0.4441155174512861,2634.064516129032,0.0470755363965905,1.1477045221205605e-06
IIBidder,ipinyou,0.2,0.25,144.0,0.4442116324817545,2633.3225806451615,0.0470887998726005,1.1478905226814547e-06
IIBidder,ipinyou,0.2,0.5,145.0,0.4475115818611718,2633.3225806451615,0.0470887998726005,1.1478905226814547e-06
IIBidder,ipinyou,0.3,0.03125,115.0,0.3728494261932685,2206.608695652174,0.0521161727616645,1.4692994411777605e-06
IIBidder,ipinyou,0.3,0.0625,127.0,0.4266610279182125,2284.064220183486,0.0477219506513016,1.496863404606426e-06
IIBidder,ipinyou,0.3,0.125,126.0,0.4257767696379026,3500.4761904761904,0.0359951027071146,9.653488632791516e-07
IIBidder,ipinyou,0.3,0.25,178.0,0.4683172821232454,3500.4761904761904,0.0359951027071146,9.653488632791516e-07
IIBidder,ipinyou,0.3,0.5,126.0,0.425879292337069,2354.4363636363637,0.0467203113657775,1.453222683322835e-06
IIBidder,ipinyou,0.4,0.03125,102.0,0.3577657740784174,1789.5588235294117,0.0569972881913057,1.959984518467239e-06
IIBidder,ipinyou,0.4,0.0625,99.0,0.3694277311085911,5864.575757575758,0.0168810164779802,6.362938084141406e-07
IIBidder,ipinyou,0.4,0.125,125.0,0.4617366063705045,2121.604395604395,0.0428920679974723,1.8704660192686217e-06
IIBidder,ipinyou,0.4,0.25,170.0,0.5191685409097614,6782.104,0.0184308586244032,5.45363417875169e-07
IIBidder,ipinyou,0.4,0.5,125.0,0.4627297950186787,6777.504,0.0184433679419444,5.456957474428549e-07
IIBidder,ipinyou,0.5,0.03125,73.0,0.361257953518772,3481.5753424657532,0.0209675198205819,1.4214080129006786e-06
IIBidder,ipinyou,0.5,0.0625,108.0,0.3965706157128853,4867.314814814815,0.0221888256891205,7.544098307167716e-07
IIBidder,ipinyou,0.5,0.125,108.0,0.399793673067928,5042.601851851852,0.0214175148411405,7.341038174148193e-07
IIBidder,ipinyou,0.5,0.25,109.0,0.4031833298091159,1464.659090909091,0.060082240670339,2.5731594703583275e-06
IIBidder,ipinyou,0.5,0.5,109.0,0.4031833298091159,1472.875,0.0597470932699652,2.561030677678089e-06
AC_GAIL,ipinyou,0.0,0.03125,29.0,0.0898547381506186,4327.724137931034,0.0067009816420193,7.159511900068419e-07
AC_GAIL,ipinyou,0.0,0.0625,29.0,0.0898547381506186,4327.724137931034,0.0067009816420193,7.159511900068419e-07
AC_GAIL,ipinyou,0.0,0.125,29.0,0.0898547381506186,4327.724137931034,0.0067009816420193,7.159511900068419e-07
AC_GAIL,ipinyou,0.0,0.25,29.0,0.0898547381506186,4327.724137931034,0.0067009816420193,7.159511900068419e-07
AC_GAIL,ipinyou,0.0,0.5,29.0,0.0898547381506186,4327.724137931034,0.0067009816420193,7.159511900068419e-07
AC_GAIL,ipinyou,0.1,0.03125,59.0,0.1320364211888789,1703.084745762712,0.0346430206405127,1.314030584471636e-06
AC_GAIL,ipinyou,0.1,0.0625,47.0,0.1320812748697643,2161.255319148936,0.0217466208566731,1.3002813068622878e-06
AC_GAIL,ipinyou,0.1,0.125,52.0,0.1322414665872117,1953.1923076923076,0.0266230825276175,1.3020249550756328e-06
AC_GAIL,ipinyou,0.1,0.25,47.0,0.1320812748697643,2161.255319148936,0.0217466208566731,1.3002813068622878e-06
AC_GAIL,ipinyou,0.1,0.5,52.0,0.1322414665872117,1953.1923076923076,0.0266230825276175,1.3020249550756328e-06
AC_GAIL,ipinyou,0.2,0.03125,53.0,0.1613066518008754,1505.0943396226414,0.0352137395010655,2.0221468196173432e-06
